id,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,ph,sulfatos,alcohol,calidad
60,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,Buena
61,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,Excelente
62,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Buena
63,8.3,0.54,0.28,,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,Excelente
64,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,Buena
65,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Excelente
66,,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,Buena
67,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,Buena
68,8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,Buena
69,8.0,,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,,9.4,Buena
70,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Buena
71,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,Excelente
72,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,,9.6,Buena
73,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,Buena
74,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Buena
75,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Excelente
76,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,Buena
77,8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,Buena
78,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,,0.52,10.0,Buena
79,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,Aceptable
80,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Buena
81,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Buena
82,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,,10.5,Buena
83,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Buena
84,,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,Buena
85,,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,,9.3,Excelente
86,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,Buena
87,7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,Aceptable
88,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,Excelente
89,7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,,9.4,Buena
90,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,Buena
91,6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,,0.52,10.2,Buena
92,7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,Aceptable
93,7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,Aceptable
94,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,Excelente
95,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,,11.5,Excelente
96,6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,Buena
97,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,Buena
98,7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,Buena
99,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,,9.5,Buena
100,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,,0.59,9.5,Buena
101,7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,,9.3,Buena
102,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,,9.3,Buena
103,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,,,9.7,Buena
104,7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,Buena
105,7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,Buena
106,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,Buena
107,6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,Excelente
108,7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,,9.7,Buena
109,,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,Buena
110,7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,Buena
111,11.5,,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,Excelente
112,7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,Excelente
113,,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,Buena
114,8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,Excelente
115,8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,Buena
116,7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,Excelente
117,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,Buena
118,,0.625,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,Buena
119,8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,Buena
120,,0.49,0.19,,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,Buena
121,7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,Buena
122,6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,Buena
123,8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,Excelente
124,7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,Excelente
125,8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,Excelente
126,,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,Excelente
127,8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,Excelente
128,8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,Excelente
129,8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,Buena
130,12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,Excelente
131,7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,,9.8,Excelente
132,7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,Excelente
133,7.1,0.68,0.07,,0.075,16.0,51.0,0.99685,3.38,,9.5,Buena
134,,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,Excelente
135,7.1,,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,Excelente
136,11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,Buena
137,7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,Buena
138,,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,,0.57,9.3,Buena
139,9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,Buena
140,6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,Buena
141,7.7,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,9.4,Buena
142,7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,Buena
143,7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,Aceptable
144,8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,Buena
145,7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,Buena
146,12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,Buena
147,8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,,9.8,Aceptable
148,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,Excelente
149,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,Excelente
150,7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,Excelente
151,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,Excelente
152,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,Excelente
153,11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,Excelente
154,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,Buena
155,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,Buena
156,12.0,0.45,0.55,,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,Excelente
157,11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,Buena
158,6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,Excelente
159,,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,Excelente
160,10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,Buena
161,,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,Buena
162,7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,Buena
163,7.2,0.65,0.02,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,Buena
164,7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,Excelente
165,8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,Buena
166,8.4,0.65,0.6,2.1,0.1119999999999999,12.0,90.0,0.9973,3.2,0.52,9.2,Buena
167,7.6,0.62,0.32,2.2,0.0819999999999999,7.0,54.0,0.9966,3.36,,9.4,Buena
168,7.9,,0.24,2.0,0.072,15.0,105.0,0.996,3.27,0.54,9.4,Excelente
169,8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,Buena
170,7.4,,0.29,,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,Buena
171,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74.0,0.99865,,0.64,10.4,Excelente
172,9.3,0.61,0.26,3.4,0.09,25.0,87.0,0.99975,3.24,0.62,9.7,Buena
173,10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,Excelente
174,10.0,,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,Excelente
175,,,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,Buena
176,13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,,9.7,Excelente
177,,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,,0.52,11.0,Buena
178,8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,,0.7,12.5,Excelente
179,,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,Excelente
180,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,Excelente
181,11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32.0,1.0006,3.12,0.78,10.7,Excelente
182,9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,Excelente
183,9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,Excelente
184,7.7,,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,,9.3,Buena
185,11.5,0.41,0.52,3.0,0.08,29.0,55.0,1.0001,3.26,0.88,11.0,Buena
186,8.2,0.7,0.23,2.0,0.099,14.0,81.0,0.9973,3.19,0.7,9.4,Buena
187,8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,Excelente
188,11.9,0.58,0.66,2.5,0.072,6.0,37.0,0.9992,,0.56,10.0,Buena
189,12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,Buena
190,,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,Buena
191,7.9,0.24,0.4,,0.0559999999999999,11.0,25.0,0.9967,3.32,0.87,8.7,Excelente
192,9.1,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,Excelente
193,11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,Excelente
194,11.4,0.625,0.66,,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,Excelente
195,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,Excelente
196,7.7,0.51,0.28,,0.087,23.0,54.0,0.998,3.42,0.74,9.2,Buena
197,7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,,9.2,Excelente
198,,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,Excelente
199,9.5,0.37,0.52,2.0,0.0819999999999999,6.0,26.0,0.998,3.18,0.51,9.5,Buena
200,6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,Buena
201,11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,Excelente
202,8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,,9.4,Buena
203,6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,Buena
204,11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,Excelente
205,7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,,9.1,Buena
206,9.8,,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,Excelente
207,12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,Aceptable
208,9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,Excelente
209,7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,,9.3,Buena
210,8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,,0.61,9.5,Buena
211,8.6,0.725,0.24,6.6,0.1169999999999999,31.0,134.0,1.0014,3.32,1.07,9.3,Buena
212,10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,Excelente
213,,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,Buena
214,11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4,Excelente
215,6.8,0.77,0.0,1.8,0.066,34.0,52.0,0.9976,3.62,0.68,9.9,Buena
216,7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,Buena
217,6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,,11.4,Excelente
218,9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.56,10.6,Excelente
219,9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,Buena
220,,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56,9.2,Buena
221,12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,Buena
222,10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,Excelente
223,,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,Buena
224,,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,Excelente
225,7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,Buena
226,9.3,0.48,0.29,2.1,0.127,6.0,16.0,0.9968,3.22,0.72,11.2,Buena
227,8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,Excelente
228,11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,3.1,0.61,10.8,Excelente
229,11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,,0.61,10.8,Excelente
230,6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,,0.63,10.0,Excelente
231,7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,Buena
232,8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,Buena
233,9.2,0.63,0.21,2.7,0.0969999999999999,29.0,65.0,0.9988,3.28,0.58,9.6,Buena
234,9.2,0.43,0.52,2.3,0.083,14.0,23.0,0.9976,3.35,0.61,11.3,Excelente
235,8.3,0.615,0.22,2.6,0.087,6.0,19.0,0.9982,3.26,0.61,9.3,Buena
236,11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,Excelente
237,10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,Excelente
238,8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,Excelente
239,11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,,0.62,9.2,Excelente
240,8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.58,9.8,Buena
241,13.0,0.32,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,Buena
242,9.6,0.54,0.42,2.4,0.081,25.0,52.0,0.997,3.2,0.71,11.4,Excelente
243,12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,Excelente
244,9.6,0.68,0.24,2.2,0.087,5.0,28.0,0.9988,3.14,0.6,10.2,Buena
245,9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,Buena
246,10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.06,11.0,Excelente
247,9.4,0.685,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,Excelente
248,10.6,0.28,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,Buena
249,10.6,0.36,0.6,2.2,0.152,7.0,18.0,0.9986,3.04,,9.4,Buena
250,10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,Buena
251,9.3,0.39,0.4,2.6,0.073,10.0,26.0,0.9984,3.34,,10.2,Excelente
252,8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,Excelente
253,,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,Excelente
254,7.8,0.52,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,Excelente
255,7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,Buena
256,11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,Excelente
257,10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,Excelente
258,10.7,0.4,0.48,2.1,0.125,15.0,49.0,0.998,3.03,0.81,9.7,Excelente
259,8.5,0.655,0.49,6.1,0.122,34.0,151.0,1.001,3.31,1.14,9.3,Buena
260,12.5,0.6,0.49,,0.1,5.0,14.0,1.001,3.25,0.74,11.9,Excelente
261,9.8,0.25,0.49,2.7,0.088,15.0,33.0,0.9982,,0.9,10.0,Excelente
262,,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,Buena
263,9.2,0.43,0.49,2.4,0.086,23.0,116.0,0.9976,3.23,0.64,9.5,Buena
264,7.0,0.38,0.49,2.5,0.0969999999999999,33.0,85.0,0.9962,3.39,0.77,11.4,Excelente
265,9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,Buena
266,9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,,0.87,10.3,Excelente
267,11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,Buena
268,11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,,10.3,Buena
269,10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,Excelente
270,10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,Excelente
271,9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,Excelente
272,,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,Buena
